 1223.39299 12092.66555 10375.44399  7601.06582  6664.71617  6739.76223  8396.08714 12650.47416  8853.31460  6545.65034  8753.21920  6173.91904  5295.43559  6886.00509  7137.55763  8938.89512 10851.63802  6716.52109 10758.29309 11438.06398 10287.08503  7382.06172  5403.06464  5807.99274  8059.88306 11914.29444  8634.82524  6018.56256  7131.48387  7019.65134 11029.03605  6909.36395 10235.59735  9735.84961  9729.13203 16402.35352  6940.03149  6242.28009  9029.87381 11877.75530 14714.17999 12485.51880  7975.25945 10917.50963 15921.57609 15746.11006 10405.73917  4884.64668  7430.28223 12002.91041  7030.82154  7769.39786 11282.10016 10234.80433  8043.47637 11009.99232 10704.24647  6776.67651 11888.25677 15920.29057 16459.41082 18658.11328  9455.05761 12737.30988 11382.52685 14462.15231 10227.72046 16593.33603 21721.34589 19204.78690 12620.16783 11983.65902 12849.44240 12137.45022  5768.44350 10969.56383 11127.12684  6079.44165  9805.21785 16249.59566 15554.61330  9923.22444  3291.37668  6461.86846 11138.89368  6241.64629  7093.02168 10458.27272 10249.83169  7227.70475 13068.69619 11719.77883  6910.55064 12080.87227 16092.87476 16118.57020 19719.81787  9240.83258 12830.62350 11103.96069 14544.68382  9072.04431 17043.61704 22728.80203 20240.92633 11434.40627 13272.83762 12073.62507 11020.49170  5130.33761 10968.59094 10996.56872 
 1219.71860 12081.63285 10393.49166  7605.91123  6644.27456  6701.88585  8377.84340 12658.77508  8874.72246  6555.45247  8714.92758  6105.18661  5234.90210  6836.06690  7083.07994  8830.64367 10824.78353  6754.57560 10705.15868 11415.82738 10281.50439  7402.89355  5380.24351  5778.77982  8005.66720 11918.98359  8581.82078  6025.61447  7040.60179  6984.97236 11041.14494  6922.56368 10194.75377  9610.15430  9767.72428 15973.68359  7293.30542  6271.94363  8759.73626 11659.52553 14612.17233 12551.15095  7946.08324 11011.39579 15908.80255 15747.69350 10470.54795  4652.16639  7352.92517 12035.74240  7005.32604  7781.05189 11320.15319 10154.24626  8030.17558 11002.53576 10699.15592  6683.79222 11800.56247 15951.10915 16482.84746 18701.57186  9517.80238 12664.82851 11390.61306 14448.88649 10241.13899 16659.33853 21850.41451 19151.07887 12607.90365 11945.59245 12833.82287 12622.33535  5663.06458 11064.77088 11118.20476  5945.02599  9846.74803 16301.64531 15559.39037  9963.51230  3207.64172  6407.13408 11170.05624  6180.34500  7096.09899 10455.53893 10235.13672  7212.53253 13015.02544 11695.06449  6845.50242 12034.18275 16019.53329 16109.66116 19594.34341  9256.69873 12799.51839 11072.71115 14504.08703  9072.49832 17112.40372 22691.38944 20127.05375 11422.68810 13197.93889 12063.25940 11076.68106  5039.99379 10946.65669 10947.41631 
 1212.46604 12083.56704 10347.83713  7637.26318  6666.16638  6712.67110  8388.10597 12693.47166  8857.88949  6489.91695  8863.28491  6173.23212  5254.09694  6805.82453  6996.40196  8742.69403 10712.60482  6718.51916 10563.03351 11418.50743 10228.23920  7270.80654  5380.18421  5780.06395  8015.65218 11970.52538  8588.98519  5988.59058  7046.80285  6949.14947 11003.71891  6863.75943 10059.30147  9300.85547  9809.20126 16935.58594  7656.28589  6369.18185  8936.97593 11642.05713 14666.01698 12509.36101  7956.30659 10950.59031 15848.37962 15699.37585 10472.74284  4595.06423  7341.98435 12075.57756  6910.53001  7819.82166 11349.80863 10185.64432  8029.75525 11007.05366 10640.03209  6677.73224 11858.94020 15984.42692 16562.02491 18630.28990  9494.24195 12661.16961 11382.71705 14415.73759 10273.06037 16591.11030 21735.68905 18989.14289 12595.10943 11928.72211 12826.10108 12256.21265  5437.35682 11027.29955 11101.93310  5782.49399  9818.74462 16190.41670 15534.78477  9949.40932  3138.08189  6394.55013 11213.28800  6118.62442  7131.18661 10491.75860 10151.04903  7225.61267 12990.98717 11670.55030  6818.60077 12070.07870 16026.95472 16131.36576 19584.14560  9279.04015 12775.41145 11062.53877 14459.35250  9094.94971 17025.81755 22704.22530 20038.12863 11459.29856 13149.19624 12046.49829 11029.94600  5097.18374 10942.06194 10901.64589 
 1215.63570 12053.83241 10320.11718  7427.44473  6649.86473  6731.27899  8374.18142 12607.52249  8816.65614  6521.60019  8791.63657  6112.78240  5254.32438  6842.12476  6995.38030  8849.05844 10633.68424  6643.29437 10613.81757 11398.35320 10204.34635  7251.89414  5401.64567  5802.12826  8021.04843 11871.96751  8601.23561  6065.94253  7052.69898  6953.59970 11017.05648  6857.73022 10152.14899  9578.41016  9802.06211 16550.42773  7353.94531  6264.60712  8792.79688 11677.11816 14541.29477 12428.48748  7905.14395 10869.85239 15828.55733 15644.97308 10408.75854  4739.91516  7377.00513 11993.93136  6984.82528  7787.28605 11318.21709 10184.08492  7987.04438 10960.02560 10652.10826  6682.43434 11801.72024 15882.77329 16514.83700 18505.88504  9457.07930 12640.16194 11289.99593 14342.04224 10234.97173 16515.51596 21655.19822 19057.67742 12574.56660 11861.31692 12713.33838 12176.67797  5633.35792 10915.10861 11040.34882  5947.50659  9822.58644 16128.70439 15478.37858  9917.79793  3283.24528  6428.54776 11148.70146  6209.78581  7129.45425 10476.10115 10205.27897  7196.56589 12998.92696 11670.75211  6833.72119 12029.68843 15949.25323 16138.42410 19470.73180  9245.75373 12760.62495 11033.26318 14446.72791  9063.13235 16949.86982 22600.63120 20086.86589 11417.89186 13127.14322 11988.57875 11057.39861  5110.96267 10825.07806 10891.53595 
 1217.98696 12047.11250 10351.01755  7518.23096  6654.30451  6724.45060  8345.77261 12597.51148  8817.48900  6481.00971  8707.47113  6054.47969  5218.44006  6811.64665  6889.29816  8816.04370 10701.95844  6705.49297 10571.84128 11388.85596 10235.39304  7304.02588  5384.91377  5792.95491  7936.33996 11843.53220  8575.82005  6008.12363  6987.42361  6937.24324 11027.63973  6870.82545 10139.62858  9700.77393  9787.37140 16077.25293  7776.00586  6242.56971  8658.84281 11591.21840 14483.36771 12444.50020  7927.94641 10908.96821 15836.75983 15716.02852 10472.12756  4661.85933  7347.68678 11991.82187  6984.60851  7753.22958 11326.17684 10150.43170  7980.33999 10964.52415 10665.48705  6650.26002 11735.78959 15858.52489 16416.51433 18502.03759  9504.32852 12609.82432 11318.61415 14367.81680 10240.75527 16534.49800 21810.32755 19094.31200 12592.01805 11859.36933 12727.70541 12519.35436  5648.52594 10936.28946 11037.70860  5945.69060  9776.70505 16178.16466 15522.21671  9959.94187  3181.37258  6401.31884 11154.84305  6199.68557  7103.49221 10474.56751 10210.29585  7186.31585 12972.31797 11644.14440  6853.45171 12002.70356 15881.38572 16162.10219 19435.10217  9232.12425 12719.53496 11022.35478 14445.34602  9057.20102 17036.68858 22607.97328 20071.60073 11433.28899 13072.84579 11998.89422 11111.49400  5059.34892 10822.65805 10887.11072 
 1209.49585 12030.12131 10367.96955  7553.61592  6625.35054  6666.11872  8231.63566 12594.41728  8747.55302  6434.56092  8826.03120  6099.77438  5195.60062  6795.02764  6932.85645  8700.75858 10669.72396  6668.48570 10556.13812 11358.76935 10232.88465  7362.73477  5358.58595  5755.96055  7844.04600 11822.06875  8541.05179  5879.08716  7020.03039  6934.69368 10899.16707  6847.48515 10077.88083  9594.94141  9745.50249 16628.99805  7727.20532  6297.53593  8661.44918 11400.70285 14449.01067 12419.05557  7799.02927 10930.96157 15698.67279 15733.37567 10421.69660  4596.47550  7313.88262 11960.46744  6941.61323  7711.72240 11334.61870 10099.59526  7946.26470 10929.52333 10626.99899  6601.34307 11802.45582 15846.06764 16436.70336 18416.54763  9448.24783 12586.06366 11301.64116 14359.43793 10238.52650 16500.32487 21725.90340 18940.70321 12586.53427 11771.48526 12745.97496 12559.94270  5451.58110 10902.06701 11006.55156  5707.98807  9719.74900 16086.15285 15489.55075  9919.85461  3051.85682  6343.75899 11114.59042  6093.26251  7101.14616 10449.88757 10131.44368  7207.01748 12885.92398 11538.66770  6772.26802 12039.24436 15925.14035 16091.56957 19365.12247  9223.74533 12678.32806 10999.07988 14393.92598  9067.65401 17018.10981 22559.02933 19949.93110 11428.73704 13003.08473 11986.28766 10964.80119  4975.00429 10897.92235 10834.97642 
 1210.87809 12037.24847 10304.54499  7558.69854  6647.77485  6700.18071  8291.59077 12586.83753  8787.97704  6463.57888  8694.15277  6120.69207  5227.18890  6812.19277  7028.40263  8757.58918 10691.64247  6633.64410 10653.16956 11383.14268 10195.27238  7399.40518  5368.06797  5764.53223  7947.98486 11903.18017  8559.49014  5949.19366  7035.29688  6920.41675 10968.98055  6829.18251 10065.95024  9553.68896  9778.83370 16722.22852  7479.49146  6287.46243  8861.67543 11659.37381 14624.99835 12427.59777  7817.51707 10902.07122 15796.41195 15642.23924 10368.13337  4746.69956  7350.54864 11955.24234  6952.60206  7735.59582 11324.53149 10134.43781  7954.33701 10938.51386 10635.53925  6629.66533 11745.92407 15911.54010 16478.90841 18522.21351  9407.73717 12636.46760 11284.05581 14326.11799 10190.17920 16435.63015 21628.55194 18955.91444 12525.61769 11832.49442 12728.06584 12189.24238  5584.10326 10892.42588 11032.56372  5929.56150  9776.04295 16136.76511 15456.33423  9895.75549  3224.89353  6398.41251 11100.02091  6142.12381  7077.51720 10463.10492 10160.04519  7175.30928 12922.36328 11635.09999  6807.74955 12020.10332 16024.48271 16094.06319 19516.62346  9211.70370 12732.14624 11017.11763 14402.55438  9034.76765 16916.73715 22634.09104 19995.70509 11414.81799 13111.37954 12003.95196 11010.28933  5117.20601 10837.99175 10891.67229 
 1216.66965 12060.97677 10307.73217  7535.22637  6646.54540  6684.25237  8305.02872 12522.29396  8868.41910  6566.20103  8622.03700  6058.12881  5221.66615  6838.65439  6997.62958  8744.09567 10681.16352  6735.07633 10560.85882 11395.25966 10196.20717  7440.07568  5379.14887  5763.73911  7891.78690 11761.44659  8619.10151  5970.72833  7028.44336  6900.82157 10828.61336  6900.73059 10108.43296  9669.73389  9737.94194 15932.78516  7262.94214  6215.48706  8692.89425 11571.30518 14511.12725 12443.56233  7825.77942 10901.10111 15873.04163 15750.10153 10463.53688  4751.27853  7389.44011 11988.23344  6978.14504  7749.78044 11333.30388 10160.98201  7990.59762 10940.07750 10670.90784  6655.25389 11757.64496 15905.58605 16395.57370 18486.39124  9493.62543 12677.84706 11338.83306 14406.10298 10245.20631 16566.73330 21767.33680 19144.71658 12609.15407 11868.87399 12759.44942 12353.68569  5644.16210 10911.14971 11089.38241  5886.22076  9834.09247 16183.84748 15545.39304  9930.45777  3245.05367  6402.27429 11121.85076  6180.59898  7098.68740 10447.11626 10198.36288  7164.72519 12944.14274 11637.92339  6795.37247 12051.87611 15924.77284 16058.33919 19383.79382  9246.08721 12753.74683 11061.37667 14433.27932  9050.58289 17016.72858 22622.23792 20135.57845 11435.06083 13089.35431 11967.84983 11027.28006  5060.28719 10823.23478 10898.28607 
 1209.45649 12035.95436 10352.64907  7452.65830  6608.52794  6657.62681  8223.96218 12591.82537  8790.18784  6475.57719  8718.42885  6138.72631  5202.00246  6797.93435  6946.12482  8687.90062 10694.65907  6684.33282 10515.94122 11367.78714 10218.45084  7255.18232  5355.73450  5753.32383  7856.71801 11817.06762  8545.62230  5902.17646  7022.47618  6954.70711 10845.99382  6824.88196 10082.35774  9593.79639  9771.52097 16296.54688  7686.50732  6271.81413  8889.00310 11445.18666 14314.05364 12462.57781  7871.28574 10864.01065 15751.07524 15733.20026 10414.12305  4598.29856  7327.30218 11964.39452  6921.76417  7763.86353 11331.13465 10121.19611  7986.39760 10975.45375 10650.04910  6595.85704 11751.82030 15824.46481 16378.66138 18369.09569  9492.22295 12624.51507 11346.14291 14333.17878 10243.47940 16581.81789 21747.41596 18998.15576 12584.06767 11791.02510 12756.43761 12461.18202  5429.46150 10960.14895 11019.16465  5695.45840  9760.90401 16149.07479 15526.77711  9918.01021  3057.05609  6329.02668 11112.45055  6098.83148  7122.80101 10431.54228 10138.23202  7203.53629 12903.75669 11541.11622  6779.61440 12035.59872 15901.54508 16060.42569 19358.01734  9223.59752 12682.86278 11043.25194 14388.82154  9066.30411 17051.75409 22577.45799 20015.34931 11395.92052 12999.57082 11952.80768 10985.98270  5004.06327 10913.30445 10811.02690 
 1213.44346 12075.31802 10312.12183  7619.67168  6664.27443  6720.67270  8377.26862 12626.78674  8792.42530  6452.27875  8721.88114  6081.88455  5222.67812  6868.94910  7022.49907  8852.10796 10688.44021  6658.73606 10674.09342 11413.28997 10237.93026  7402.90723  5380.54662  5785.96121  8009.27558 11912.54750  8568.57818  5956.24971  7091.78706  6969.88203 11049.61922  6835.52486 10101.99244  9424.43506  9800.97210 16682.23633  7338.99561  6341.74806  8957.96477 11635.87598 14637.15204 12454.05242  7920.66794 10884.89871 15892.80884 15682.79435 10430.84623  4730.40789  7353.47400 12032.13326  6940.51535  7830.96601 11336.35244 10153.96252  8003.51738 11028.24953 10662.77838  6676.60467 11811.86310 15893.73197 16467.08477 18587.43670  9497.52775 12692.66170 11385.28500 14365.37606 10255.49735 16534.03285 21703.58761 19004.86896 12595.74550 11898.41398 12802.83048 12270.94195  5522.33725 10944.46547 11064.74215  5811.61995  9778.91006 16176.30046 15533.15181  9964.19675  3171.68281  6389.54251 11172.02373  6147.09151  7117.78993 10485.04535 10154.77061  7213.06617 13006.01067 11671.98922  6852.46324 12013.01998 15979.10822 16137.38457 19544.03327  9250.28548 12775.06407 11072.72947 14446.58541  9105.13637 17012.96831 22712.90218 20068.21263 11446.99585 13170.96753 12038.95546 11054.36518  5119.89755 10876.97436 10924.40588 
